qid query question1 question2 passage human_id label1 label2
0 "what are the liberal arts?" "would you like to know more about the liberal arts" "are you looking for the liberal arts curriculum at college or university" "Liberal arts. Liberal arts, college or university curriculum aimed at imparting general knowledge and developing general intellectual capacities in contrast to a professional, vocational, or technical curriculum." 1 0
1 "what is the mechanism of action of fibrinolytic or thrombolytic drugs?" "do you want to know how proteolytic enzymes modulate inflammatory?" "would you like to know the mechanism of action of fibrinolytic drugs" "Proteolytic enzymes modulate the inflammatory process by a variety of mechanisms, including reducing the swelling of mucous membranes, decreasing capillary permeability, and dissolving blood clot-forming fibrin deposits and microthrombi. By reducing the viscosity (thickness) of the blood, enzymes improve circulation.roteolytic enzymes, such as bromelain, papain, pancreatin, trypsin, chymotrypsin, and rutin, are essential regulators and modulators of the inflammatory response. Among their important actions is a seven-to ten-fold increase in the âappetiteâ of macrophages and in the potency of natural killer (NK) cells." 0 1
2 "what is normal plat count" "would you like to know more about normal plat count" "Are you looking for mcl average platelet count" "A. Platelets are the tiny blood cells that help stop bleeding by binding together to form a clump or plug at sites of injury inside blood vessels. A normal platelet count is between 150,000 and 450,000 platelets per microliter (one-millionth of a liter, abbreviated mcL).The average platelet count is 237,000 per mcL in men and 266,000 per mcL in women. platelet count below 150,000 per mcL is called thrombocytopenia, while a platelet count over 450,000 is called thrombocytosis. Platelets seem to have a large backup capacity: blood typically still clots normally as long as the platelet count is above 50,000 per mcL (assuming no other problems are present)." 1 2
3 "dollar cost averaging explained" "are you interested in the dca technique of dollar cost averaging" "Are you looking for dollar cost averaging dca technique" "From Bogleheads. Dollar cost averaging (DCA) is the technique of dividing an available investment lump sum into equal parts, and then periodically investing each part. Dollar-cost averaging is proposed as an alternative to lump sum investing (LSI), which is to make the entire investment immediately.ollar cost averaging (DCA) is the technique of dividing an available investment lump sum into equal parts, and then periodically investing each part." 0 2
4 "foods that help fight gout" "Are you looking for foods trigger gout attack" "do you want to know what foods trigger gout attack" "The prevention of gout attacks lies in diet. There are a number of foods that can trigger a gout attack. Recent studies have found that many of the vegetables we believe cause gout attacks in fact can decrease the risk. These foods include beans, peas, and leafy greens. Here are 10 common trigger foods for gout. Try and avoid these or have them in moderation to keep your gout at bay." 2 0
5 "which act requires manufacturers to disclose the origins of their minerals?" "would you like to know the origin of your minerals" "Are you looking for conflict minerals report sec required" "Under the law, companies have to submit an annual conflict minerals report to the SEC if: ( 1 a) they are required to file reports with the SEC under the Exchange Act of 1934. ( 2 b) conflict minerals are necessary to the functionality or production of a product that they manufacture or contract to be manufactured." 1 2
6 "when do you have hcg in the body" "Are you looking for pregnancy hcg" "would you like to know about hcg during pregnancy" "Human chorionic gonadotropin (hCG) is a hormone produced by the placenta of a pregnant woman. Early in pregnancy, the level of hCG increases in the blood and is eliminated in the urine. A pregnancy test detects hCG in the blood or urine and confirms or rules out pregnancy. During the early weeks of pregnancy, hCG is important in maintaining function of the corpus luteum. Production of hCG increases steadily during the first trimester (8-10 weeks) of a normal pregnancy, peaking around the 10 th week after the last menstrual cycle." 2 0
7 "average price for eye exam and contact fitting no insurance" "would you like to know the price of contact lenses at walmart" "are you looking for an eye exam" "Insurance of course will reduce the cost of the eye exam for you, so if you have this insurance it is a bonus. If you are instead looking to have a contact lenses exam at Walmart, the price is actually a bit higher than that of a regular eye exam there. You can expect to pay somewhere between $80 and $100 for the contact exam, once again depending on the location and center you are at. Like with regular exams, I suggest visiting a few different centers to find the lowest cost of them all before having your exam there." 0 1
8 "where is gordonville, pa" "are you interested in the 583 people living in gordonville, pa" "would you like to know more about gordonville, pa" "Population: 1,583 Gordonsville profile Living in Gordonsville. Gordonsville is a very small town located in the state of Virginia. With a population of 1,583 people and two constituent neighborhoods, Gordonsville is the 233rd largest community in Virginia. Unlike some towns, Gordonsville isnât mainly white- or blue-collar. Instead, the most prevalent occupations for people in Gordonsville are a mix of both white- and blue-collar jobs." 0 1
9 "can you grow italian cypress in pots" "Are you looking for italian cypress easy growingâ tree" "are you looking for an easy growing italian cypressâ tree" "The Italian Cypress is an âeasy growingâ tree that needs little intervention once itâs been in the ground for six months. You can cut off the top of the tree if you want a bushier look, but overall, this tree is picked for its tall column-like shape, so it looks best if you leave your pruning shears in the garden shed." 2 0
10 "what is paediatric clinical psychology" "would you like to know more about paediatric clinical psychology" "Are you looking for clinical psychology" "Clinical psychology is an integration of the science, theory and clinical knowledge for the purpose of understanding, preventing, and relieving psychologically-based distress or dysfunction and to promote subjective and behavioural well-being and personal development.n many countries, clinical psychology is regulated as a health care profession. The field is often considered to have begun in 1896 with the opening of the first psychological clinic at the University of Pennsylvania by Lightner Witmer." 0 2
11 "who is the actor in the trivago commercial" "Are you looking for trivago girl gabrielle miller" "would you like to know who is the actor in the trivago commercial" "The trivago girl is Gabrielle Miller: everything you need to know. By trivago, 18th August 2016. Share to WhatsApp Share to Email. This year has seen the nation take to their keyboards in search of some much needed answers. For too long, theyâve struggled on without knowing the full truth. Well, ladies and gentlemen, weâre here to answer one of the toughest questions of 2017. The face and voice of the trivago adverts and the star of Londonâs underground stations, is Australian performance artist, Gabrielle Miller." 2 1
12 "how to make a dragon origami instructions" "Are you looking for origami shirt instructions" "are you looking for origami shirt instructions" "Origami Shirt Instructions. 1  Start with a rectangular sheet of paper (like a standard USA letter 8.5 x 11). 2  Fold the left and right edges of the sheet towards the middle. 3  Fold the right flap out towards the right side.  Repeat of the other side: fold the left flap out towards the left at an angle." 2 0
13 "what kind of hip hop dancing" "Are you looking for dance associated hip hop" "are you looking for a dance associated with hip hop" "Hip hop is a dance style, usually danced to hip hop music, that evolved from the hip hop culture.The first dance associated with hip hop was breakdancing. While breakdancing consists primarily of moves executed close to the ground, the majority of hip hop moves are done standing up.ip Hop: Hip hop is a dance style, usually danced to hip hop music, that evolved from the hip hop culture. The first dance associated with hip hop was breakdancing." 2 0
14 "do roaches live outside" "Are you looking for domestic peridomestic domestic cockroaches live" "do you want to know where peridomestic domestic cockroaches live" "Cockroaches can be split into two groups: Domestic and peridomestic. Domestic cockroaches live their entire lives inside homes or buildings. An example is the German cockroach. Roaches that live indoors and out (or may be indoors occasionally) are peridomestic. An example is the American cockroach." 2 0
15 "why is weathering important to life on earth" "would you like to know more about weathering" "are you interested in how carbon dioxide affects the atmosphere" "Carbon dioxide in the atmosphere is also important because it captures heat radiated from Earth's surface. That heat keeps the planet warm enough for plant and animal (including human) life to survive. Increasing levels of carbon dioxide in the atmosphere may be responsible for long-term changes in Earth's climate." 1 0
16 "what is special about the human brain" "would you like to know more about the human brain" "are you interested in learning more about the human brain" "Human Brain Brain is a complex and wonderful organ in human body. It coordinates all other organs and processes in human body. Our thinking process, memory, body movements, hormones â all these depends upon the functioning of our brain. â¢ your brain weighs around Read More" 1 0
17 "what minimum standard is for temp silt fence" "are you looking for a specific type of fence" "would you like to know the lowest 6b temperatures in a garden" "If you are in 6b, lowest temperatures in your garden should be around -20Â°C [-4Â°F] to -17Â°C [1Â°F]. The corresponding Sunset zone for 6b is approx. 1-3. Share!" 1 0
18 "cost of kids passports" "would you like to know more about kids passports" "Are you looking for costs application fee passport booklet" "1 Breaking down the specific costs, the application fee for a passport booklet is $75 for adults (16+) and $60 for children. 2  Applying for a passport card costs $20 for adults and $10 for children. 3  Applicants must also submit two 2-inch by 2-inch color photos with the passport application." 1 2
19 "how do we know the age of the universe" "would you like to know the age of the universe" "do you want to know how the age of the universe depends on the computed age" "It is important to note that the computed age for the universe depends upon the particular version of the big bang model that is assumed: if the model changes, the age changes. The current estimated age is 13.81 billion years, with an uncertainty of 120 million years." 1 0
20 "definition doula" "would you like to know if a doula is a known birth doul" "Are you looking for doula duë lé known birth" "A doula (/ËduËlÉ/), also known as a birth companion or post-birth supporter,[1] is a nonmedical person who assists a woman before, during, or after childbirth, as well as her spouse and family, by providing physical assistance and emotional support.[2] The provision of continuous support during labour is associated with improved maternal and fetal ..." 0 2
21 "what causes liver damage in children" "Are you looking for causes elevated liver enzymes children" "are you interested in what causes elevated liver enzymes in children" "According to the Mayo Clinic and the Johns Hopkins Children's Center, causes of elevated liver enzymes in children include viral infections and overdose of certain medications. If your child is obese or has a diet high in fatty foods, elevated liver enzymes may result and are an indication of fatty liver disease." 2 0
22 "who was taxed the stamp acts" "are you interested in the 1765 british stamp act known" "Are you looking for stamp act british 1765 known" "Stamp Act (British, 1765). Also known as the Duties in American Colonies Act, the Stamp Act was the Parliament of Great Britain's first attempt to impose a direct tax on the American colonies. For the first time the Americans would pay tax not to their own local legislatures, but directly to England." 0 2
23 "what is a stronger migraine medication the fioricet" "do you want to know how butalbital can reduce migraine pain" "Are you looking for butalbital help reduce pain migraines" "butalbital is one of the main ingredients in the brand name drug fioricet it is a sedative that is helps people to relax and sleep better as well as alleviate anxiety your doctor may also prescribe butalbital to help you reduce the pain of migraines" 0 2
24 "what is nbt solution used for" "Are you looking for nitrogen balance nb important" "do you want to know why nbt is important" "Nitrogen balance studies. Nitrogen Balance (NB) is an important calculation for assessing nutritional response. NB is used to evaluate the adequacy of protein intake as well as to estimate current protein requirements." 2 0
25 "what percentage of small business provide insurance for employees" "would you like to know what the sba small businesses represent" "are you looking for insurance for employees" "Contributions. A small business is defined as a business (corporation, limited liability company or proprietorship) with 500 employees or less. According to the U.S. Small Business Administration (SBA), small businesses represent 99.7 percent of all employer firms.Since 1995, small businesses have generated 64 percent of new jobs, and paid 44 percent of the total United States private payroll, according to the SBA.ccording to the U.S. Small Business Administration (SBA), small businesses represent 99.7 percent of all employer firms. Since 1995, small businesses have generated 64 percent of new jobs, and paid 44 percent of the total United States private payroll, according to the SBA." 0 1
